date,temp,condition,wind,batter_name,batter,stand,pitcher_name,pitcher,pthrows,events,description,des,home_team,away_team,gamepk,inning,topbot,abnum,id,venue,home_score,away_score
2010-11-01,68,Clear,"4 mph, Out To CF",Andres Torres,400083,R,Cliff Lee,424324,L,Strikeout,strikeout,"Andres Torres strikes out swinging, catcher Bengie Molina to first baseman Mitch Moreland.",TEX,SF,286351,1,top,0,286351-400083-424324-1-0-4,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Freddy Sanchez,408108,R,Cliff Lee,424324,L,Groundout,field_out,"Freddy Sanchez grounds out, shortstop Elvis Andrus to first baseman Mitch Moreland.",TEX,SF,286351,1,top,1,286351-408108-424324-1-1-4,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Buster Posey,457763,R,Cliff Lee,424324,L,Single,single,Buster Posey singles on a line drive to right fielder Nelson Cruz.,TEX,SF,286351,1,top,2,286351-457763-424324-1-2-1,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Cody Ross,425496,R,Cliff Lee,424324,L,Pop Out,field_out,Cody Ross pops out to shortstop Elvis Andrus.,TEX,SF,286351,1,top,3,286351-425496-424324-1-3-1,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Elvis Andrus,462101,R,Tim Lincecum,453311,R,Groundout,field_out,"Elvis Andrus grounds out, pitcher Tim Lincecum to first baseman Aubrey Huff.",TEX,SF,286351,1,bottom,4,286351-462101-453311-1-4-2,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Michael Young,276545,R,Tim Lincecum,453311,R,Flyout,field_out,Michael Young flies out to right fielder Andres Torres.,TEX,SF,286351,1,bottom,5,286351-276545-453311-1-5-6,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Josh Hamilton,285078,L,Tim Lincecum,453311,R,Groundout,field_out,Josh Hamilton grounds out to first baseman Aubrey Huff.,TEX,SF,286351,1,bottom,6,286351-285078-453311-1-6-5,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Juan Uribe,346874,R,Cliff Lee,424324,L,Strikeout,strikeout,Juan Uribe strikes out swinging.,TEX,SF,286351,2,top,7,286351-346874-424324-2-7-8,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Aubrey Huff,333492,L,Cliff Lee,424324,L,Groundout,field_out,"Aubrey Huff grounds out, second baseman Ian Kinsler to first baseman Mitch Moreland.",TEX,SF,286351,2,top,8,286351-333492-424324-2-8-2,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Pat Burrell,150100,R,Cliff Lee,424324,L,Lineout,field_out,Pat Burrell lines out to left fielder David Murphy.,TEX,SF,286351,2,top,9,286351-150100-424324-2-9-5,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Vladimir Guerrero,115223,R,Tim Lincecum,453311,R,Flyout,field_out,Vladimir Guerrero flies out to right fielder Andres Torres.,TEX,SF,286351,2,bottom,10,286351-115223-453311-2-10-1,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Nelson Cruz,443558,R,Tim Lincecum,453311,R,Groundout,field_out,"Nelson Cruz grounds out, second baseman Freddy Sanchez to first baseman Aubrey Huff.",TEX,SF,286351,2,bottom,11,286351-443558-453311-2-11-1,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Ian Kinsler,435079,R,Tim Lincecum,453311,R,Groundout,field_out,"Ian Kinsler grounds out, third baseman Juan Uribe to first baseman Aubrey Huff.",TEX,SF,286351,2,bottom,12,286351-435079-453311-2-12-4,Rangers Ballpark in Arlington,0,0
2010-11-01,68,Clear,"4 mph, Out To CF",Edgar Renteria,121074,R,Cliff Lee,424324,L,Pop Out,field_out,Edgar Renteria pops out to second baseman Ian Kinsler.,TEX,SF,286351,3,top,13,286351-121074-424324-3-13-1,Rangers Ballpark in Arlington,0,0
